Candidate Name,Constituency,Party,Criminal_case,Education,Total_assets,Liabilities
[],[],[],[],[],[],[]
[],[],[],[],[],[],[]
['A Priya Chandela'],['96-RAJOURI GARDEN'],['AAP'],['0'],['Graduate'],"['Rs\xa02,67,14,329~ 2\xa0Crore+']","['Rs\xa03,24,76,459~ 3\xa0Crore+']"
['Aafreen Naaz'],['245-BRIJ PURI'],['AAP'],['0'],['Graduate'],"['Rs\xa034,06,800~ 34\xa0Lacs+']",['Rs\xa00~']
['Aaley Mohammed Iqbal'],['76-CHANDANI MAHAL'],['AAP'],['1'],['12th Pass'],"['Rs\xa085,98,996~ 85\xa0Lacs+']",['Rs\xa00~']
['Aarti'],['235-GORAKH PARK'],['INC'],['0'],['12th Pass'],"['Rs\xa04,75,469~ 4\xa0Lacs+']",['Rs\xa00~']
['Aarti'],['112-SAINIK ENCLAVE'],['INC'],['0'],['10th Pass'],"['Rs\xa022,37,592~ 22\xa0Lacs+']","['Rs\xa03,34,575~ 3\xa0Lacs+']"
['Aarti Yadav'],['132-KAPASHERA'],['AAP'],['0'],['Graduate'],"['Rs\xa022,36,699~ 22\xa0Lacs+']",['Rs\xa00~']
['Aasma Begum'],['227-CHAUHAN BANGAR'],['AAP'],['1'],['8th Pass'],"['Rs\xa076,19,000~ 76\xa0Lacs+']",['Rs\xa00~']
['Abdul Gafur'],['246- SRI RAM COLONY'],['IND'],['0'],['12th Pass'],"['Rs\xa039,51,736~ 39\xa0Lacs+']","['Rs\xa06,24,490~ 6\xa0Lacs+']"
['Abhay Raj'],['186-MADANPUR KHADAR WEST'],['JD(U)'],['0'],['12th Pass'],"['Rs\xa022,94,000~ 22\xa0Lacs+']","['Rs\xa08,49,028~ 8\xa0Lacs+']"
['Abhishek'],['215-SHAHDARA'],['IND'],['0'],['Graduate'],"['Rs\xa05,87,500~ 5\xa0Lacs+']","['Rs\xa02,73,227~ 2\xa0Lacs+']"
['Abrar Ali'],['228-MAUJPUR'],['IND'],['0'],['10th Pass'],"['Rs\xa011,21,300~ 11\xa0Lacs+']",['Rs\xa00~']
['Aditi'],['28-SHAHBAAD DAIRY'],['IND'],['0'],['Graduate'],"['Rs\xa015,064~ 15\xa0Thou+']",['Rs\xa00~']
['Aditya Chaudhary'],['213-SHASTRI PARK'],['AAP'],['0'],['Post Graduate'],"['Rs\xa08,51,83,249~ 8\xa0Crore+']","['Rs\xa03,73,80,338~ 3\xa0Crore+']"
['Afak Khan'],['99-HARI NAGAR'],['IND'],['0'],['5th Pass'],"['Rs\xa074,84,284~ 74\xa0Lacs+']",['Rs\xa00~']
['Aisha Bibi'],['30-BAWANA'],['BSP'],['0'],['Literate'],"['Rs\xa061,44,333~ 61\xa0Lacs+']","['Rs\xa019,33,012~ 19\xa0Lacs+']"
['Ajay'],['53-ROHINI-E'],['INC'],['0'],['Graduate'],"['Rs\xa01,62,52,902~ 1\xa0Crore+']",['Rs\xa00~']
['Ajay Dayal'],['107-VIKAS PURI'],['IND'],['0'],['Post Graduate'],"['Rs\xa01,13,108~ 1\xa0Lacs+']",['Rs\xa00~']
