Owner,Rooms set,Price in sq ft,Total sq ft,Price,Construction Status
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments,"4,100 / sq ft",1555 , 63.75 L,Ready to move
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2,"6,264 / sq ft",1815 , 1.13 Cr,Under Construction
BUILDER,2 BHK Apartment in Paramount Golfforeste Premium Apartments,"4,100 / sq ft",1260 , 51.66 L,Ready to move
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2,"6,264 / sq ft",1815 , 1.13 Cr,Under Construction
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments,"4,100 / sq ft",1555 , 63.75 L,Ready to move
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2,"6,263 / sq ft",1825 , 1.14 Cr,Under Construction
VERIFIED OWNER,3 BHK Independent House,"3,714 / sq ft",2100 , 78 L,Under Construction
VERIFIED OWNER,3 BHK Apartment,"6,206 / sq ft",1160 , 72 L,Ready to move
VERIFIED OWNER,3 BHK Villa in Bhoomik Ashoka Greens,"4,082 / sq ft",1837 , 75 L,Ready to move
VERIFIED OWNER,3 BHK Apartment in Migsun Wynn,"3,757 / sq ft",1650 , 62 L,Ready to move
VERIFIED OWNER,2 BHK Apartment in Capital Athena,"5,172 / sq ft",1075 , 55.6 L,Ready to move
VERIFIED OWNER,2 BHK Apartment,"2,754 / sq ft",980 , 26.99 L,Ready to move
VERIFIED OWNER,2 BHK Independent Floor in Vihaan Krystal Floors,"2,380 / sq ft",1050 , 25 L,Under Construction
VERIFIED OWNER,3 BHK Villa,"2,875 / sq ft",1600 , 46 L,Under Construction
VERIFIED OWNER,3 BHK Villa in Panchsheel Greens 2 Villa,"3,658 / sq ft",1640 , 60 L,Under Construction
VERIFIED OWNER,2 BHK Apartment in Addela Raj Rakhsa Addela,"3,888 / sq ft",1080 , 42 L,Ready to move
VERIFIED OWNER,1 BHK Apartment in Reputed Builder Authority flat,"5,333 / sq ft",300 , 16 L,Ready to move
VERIFIED OWNER,3 BHK Villa,"4,406 / sq ft",1475 , 65 L,Under Construction
VERIFIED OWNER,3 BHK Apartment in Stellar One,"5,807 / sq ft",1412 , 82 L,Ready to move
VERIFIED OWNER,2 BHK Apartment in Mangalya Novena Green,"5,428 / sq ft",1050 , 57 L,Ready to move
