Owner,Rooms set,Price,property_image
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 63.75 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in RG Luxury Phase 2, 55.22 L,https://static.makaan.com/1/3182874/291/139403226.png?width=460&height=260
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2, 1.13 Cr,https://static.makaan.com/1/1960685/298/images-for-mainother-140556033.jpeg?width=460&height=260
BUILDER,2 BHK Apartment in Paramount Golfforeste Premium Apartments, 51.66 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in RG Luxury Phase 2, 55.22 L,https://static.makaan.com/1/3182874/291/139403226.png?width=460&height=260
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2, 1.13 Cr,https://static.makaan.com/1/1960685/298/images-for-mainother-140556033.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in Paramount Golfforeste Premium Apartments, 63.75 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
BUILDER,3 BHK Apartment in RG Luxury Phase 2, 55.22 L,https://static.makaan.com/1/3182874/291/139403226.png?width=460&height=260
BUILDER,3 BHK Apartment in Purvanchal Royal City Phase 2, 1.14 Cr,https://static.makaan.com/1/1960685/298/images-for-mainother-140556033.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Independent House, 78 L,https://static.makaan.com/17/20207236/286/142184846.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment, 72 L,https://www.makaan.com/images/dummy/apartment-no-image.jpg
VERIFIED OWNER,3 BHK Villa in Bhoomik Ashoka Greens, 75 L,https://static.makaan.com/17/20163101/286/141936661.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment in Migsun Wynn, 62 L,https://static.makaan.com/17/20016135/281/141321232.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment in Capital Athena, 55.6 L,https://static.makaan.com/17/19924534/281/140748743.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment, 26.99 L,https://static.makaan.com/17/20301359/281/142617749.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Independent Floor in Vihaan Krystal Floors, 25 L,https://static.makaan.com/17/20498287/281/143655259.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Villa, 46 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
VERIFIED OWNER,3 BHK Villa in Panchsheel Greens 2 Villa, 60 L,https://static.makaan.com/17/19645193/283/139446794.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment in Addela Raj Rakhsa Addela, 42 L,https://static.makaan.com/17/20311813/281/142663441.jpeg?width=460&height=260
VERIFIED OWNER,1 BHK Apartment in Reputed Builder Authority flat, 16 L,https://static.makaan.com/17/19749958/281/139957585.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Villa, 65 L,https://static.makaan.com/17/19671581/283/139495464.jpeg?width=460&height=260
VERIFIED OWNER,3 BHK Apartment in Stellar One, 82 L,https://static.makaan.com/17/20199724/281/142141449.jpeg?width=460&height=260
VERIFIED OWNER,Residential Plot in Uniqueways Lotus Green Valley, 15 L,https://static.makaan.com/17/20764939/286/145081308.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment in Mangalya Novena Green, 57 L,https://static.makaan.com/17/19763936/281/139917383.jpeg?width=460&height=260
VERIFIED OWNER,4 BHK Apartment in Migsun Ultimo, 62 L,https://static.makaan.com/1/663693/298/ultimo-living-area-137045719.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Independent House, 47.99 L,https://static.makaan.com/17/20094205/283/141663582.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Independent House, 42 L,https://static.makaan.com/17/18046415/286/133792198.jpeg?width=460&height=260
VERIFIED OWNER,4 BHK Villa in Godrej Golf Links Villas, 2.25 Cr,https://static.makaan.com/1/1475717/298/130793000.jpeg?width=460&height=260
VERIFIED OWNER,1 BHK Independent Floor, 14.99 L,https://static.makaan.com/17/18436759/281/133460562.jpeg?width=460&height=260
VERIFIED OWNER,2 BHK Apartment, 65 L,https://static.makaan.com/17/15609973/287/117132619.jpeg?width=460&height=260
VERIFIED OWNER,1 BHK Apartment, 22.5 L,https://static.makaan.com/17/16118155/281/119570685.jpeg?width=460&height=260
VERIFIED OWNER,Residential Plot in Gaursons India Gaur Yamuna City Plots, 1.25 Cr,https://static.makaan.com/17/18778565/286/135111405.jpeg?width=460&height=260
VERIFIED OWNER,Residential Plot, 11.3 L,https://static.makaan.com/17/17990075/277/131495810.jpeg?width=460&height=260
AGENT,2 BHK Apartment in AMR I Homes, 28 L,https://static.makaan.com/17/19737339/281/139771247.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Reputed Builder Greater Noida Authority Flat, 98 L,https://static.makaan.com/17/20091302/286/141637903.jpeg?width=460&height=260
AGENT,4 BHK Apartment in Migsun Mannat, 1.15 Cr,https://static.makaan.com/17/20109040/281/141726919.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Amrapali Centurian Park Low Rise, 86 L,https://static.makaan.com/1/641246/297/16054361.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Gaursons 7th Avenue, 61.5 L,https://static.makaan.com/17/20129664/286/141812791.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Dev Sai Sports Home Phase 2, 62.7 L,https://static.makaan.com/1/3070336/298/128670071.jpeg?width=460&height=260
AGENT,2 BHK Independent Floor in Thv Vihaan Floors, 25.69 L,https://static.makaan.com/17/0/573/31067591.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Fusion The Brook, 51 L,https://static.makaan.com/17/20233123/281/142290697.jpeg?width=460&height=260
AGENT,3 BHK Apartment in SKA Metro Ville, 37.91 L,https://static.makaan.com/1/1825483/298/132409427.png?width=460&height=260
AGENT,2 BHK Apartment in Thv Krystal Homes, 27.64 L,https://static.makaan.com/17/20247912/281/142369176.jpeg?width=460&height=260
AGENT,2 BHK Independent House, 75 L,https://static.makaan.com/17/20451166/286/143347682.jpeg?width=460&height=260
AGENT,2 BHK Apartment in Gaursons 7th Avenue, 53 L,https://static.makaan.com/17/0/569/31067393.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Mangalya Ophira, 71.78 L,https://static.makaan.com/17/20475605/281/143480609.jpeg?width=460&height=260
AGENT,3 BHK Independent Floor, 55 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,3 BHK Apartment in ATS Rhapsody, 1.46 Cr,https://static.makaan.com/17/20525808/282/143807468.jpeg?width=460&height=260
AGENT,1 RK Studio Apartment in Paramount Golfforeste Premium Apartments, 20 L,https://static.makaan.com/1/641521/297/golfforeste-premium-apartments-elevation-141810854.jpeg?width=460&height=260
AGENT,2 BHK Apartment in AMBR Ambrosia Luxury Homes, 28.16 L,https://static.makaan.com/1/3159656/297/ambrosia-luxury-homes-elevation-131190713.jpeg?width=460&height=260
AGENT,4 BHK Villa in Sunrise Sun Twilight, 1.7 Cr,https://static.makaan.com/1/672035/298/sun-twilight-bedroom-137836313.jpeg?width=460&height=260
AGENT,3 BHK Apartment in Fusion The Brook, 55.8 L,https://static.makaan.com/17/20435822/285/143288655.jpeg?width=460&height=260
AGENT,3 BHK Villa, 73 L,https://www.makaan.com/images/dummy/independent-house-no-image.jpg
AGENT,4 BHK Villa in Godrej Golf Links Villas, 5.1 Cr,https://static.makaan.com/17/20237879/281/142309848.jpeg?width=460&height=260
AGENT,2 BHK Apartment in House Vihaan Wisteria, 26.71 L,https://static.makaan.com/17/20411572/281/143198495.jpeg?width=460&height=260
