Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
 ARVINDBHAI SINGABHAI GAMIT ,"
 66
        ","
AAP
 ","

Singabhai Gameet
        ","

10th Pass SSC From Sarwajanik High School Songadh in Year 1975
","56,11,000 ~56 Lacs+ ",Self tdFarmer and Animal Husbandry,Housewife,1
 MAKVANA MAHESHBHAI MERABHAI ,"
 32
        ","
IND
 ","

Merabhai Karshanbhai
        ","


10th Pass
 12th Fail Uttar Buniyadi School ","76,500 ~76 Thou+ ",Self tdAgriculture Labour,House Wife,1
AARJUBI RAUF SHAH ,"
 26
        ","
IND
 ","

Rauf Shah
        ","


10th Pass
 10th Pass
","15,000 ~15 Thou+ ",Self tdHouse wife,Rickshaw Puller,0
AAYSHABANU AABIDHUSEN MALEK ,"
 25
        ","
IND
 ","

Abidhusen Malek
        ","


Post Graduate
 M.Tech Electrical Pass From Charuset Changa","1,80,000 ~1 Lacs+ ",Self td211200,NA,0
ABBASBHAI MOHAMMADSHARIF NODSOLA ,"
 62
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Mohammad Sharif Nasiruddin Nodsola
        ","


8th Pass
 8th Pass From Saifi Jubilee Highschool Siddhpur Year 1972
","49,36,400 ~49 Lacs+ ",Self tdFarming,Farming,0
ABDUL BASHIR SHAIKH ,"
 45
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Basheer Yasheen Shaikh 
        ","


5th Pass
 7th Fail From Nagar Primary School Surat Year-1983
","1,80,510 ~1 Lacs+ ",Self tdSaree Job Work Business ,Housewife,2
ABDULBHAI ISMAILBHAI MAJGUL ,"
 55
        ","
IND
 ","

Ismailbhai Majgul
        ","


5th Pass
 6th Pass From Shri Talala Sanchalit Talala High School Year 1989
","63,35,000 ~63 Lacs+ ",Self tdFarming,Housewife,1
ABDULSAMAD ABDULMAJID MUNSHI ,"
 54
        ","
BSP
 ","

Abdul Majid Abdul Razzak Munshi
        ","


12th Pass
 12th Anglo Urdu High School Sondagarwar Surat Year 1985-86
","6,28,100 ~6 Lacs+ ",Self tdContractor,House Wife ,0
ABHESINH MOTIBHAI TADVI ,"
 66
        ","
BJP
 ","

Motibhai Tadvi
        ","


10th Pass
 10th Pass From D B Parekh Highschool Sankheda Chota Udepur Secondary Education Gandhiagar Year 1974
","4,02,55,121 ~4 Crore+ ",Self tdFarming/ Business & Income,NA,0
ABJAL MAMADBHAI BHAYA ,"
 28
        ","
IND
 ","

Mamadbhai Bhaya
        ","


8th Pass
 9th pass
","2,61,098 ~2 Lacs+ ",Self tdPrivate Job,Housewife,4
